,precision,recall,f1-score,support
0,0.88,0.8461538461538461,0.8627450980392156,26.0
1,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
2,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
3,0.7692307692307693,0.7142857142857143,0.7407407407407408,14.0
4,0.9230769230769231,0.75,0.8275862068965517,16.0
5,1.0,1.0,1.0,12.0
6,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,16.0
accuracy,0.7102803738317757,0.7102803738317757,0.7102803738317757,0.7102803738317757
macro avg,0.6520940170940172,0.6270985958485958,0.6381751934490272,107.0
weighted avg,0.7434747184279894,0.7102803738317757,0.7251854800716433,107.0
