,precision,recall,f1-score,support
0,0.6666666666666666,0.5789473684210527,0.619718309859155,38.0
1,0.3,0.39473684210526316,0.34090909090909094,38.0
2,0.5,0.5,0.5,38.0
3,0.40540540540540543,0.38461538461538464,0.39473684210526316,39.0
4,0.3333333333333333,0.21052631578947367,0.2580645161290323,19.0
5,0.5238095238095238,0.28205128205128205,0.36666666666666664,39.0
6,0.42857142857142855,0.631578947368421,0.5106382978723404,38.0
7,0.6097560975609756,0.6410256410256411,0.625,39.0
accuracy,0.46875,0.46875,0.46875,0.46875
macro avg,0.47094280691841667,0.4529352226720648,0.4519667154426935,288.0
weighted avg,0.48045920484944876,0.46875,0.46486478887812205,288.0
