,precision,recall,f1-score,support
0,0.9230769230769231,0.75,0.8275862068965517,16.0
1,0.7222222222222222,0.7647058823529411,0.7428571428571428,17.0
2,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
3,0.7777777777777778,0.8235294117647058,0.7999999999999999,17.0
4,1.0,1.0,1.0,17.0
5,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
6,0.75,0.7058823529411765,0.7272727272727272,17.0
accuracy,0.8220338983050848,0.8220338983050848,0.8220338983050848,0.8220338983050848
macro avg,0.8274674242166503,0.8214285714285713,0.8225495422829529,118.0
weighted avg,0.8266571742263088,0.8220338983050848,0.8225068586845325,118.0
