,precision,recall,f1-score,support
0,0.9230769230769231,0.75,0.8275862068965517,16.0
1,0.5555555555555556,0.5882352941176471,0.5714285714285715,17.0
2,0.7894736842105263,0.8823529411764706,0.8333333333333333,17.0
3,0.8125,0.7647058823529411,0.787878787878788,17.0
4,0.6956521739130435,0.9411764705882353,0.7999999999999999,17.0
5,1.0,0.8235294117647058,0.9032258064516129,17.0
6,0.7333333333333333,0.6470588235294118,0.6875,17.0
accuracy,0.7711864406779662,0.7711864406779662,0.7711864406779662,0.7711864406779662
macro avg,0.7870845242984832,0.7710084033613446,0.772993243712694,118.0
weighted avg,0.7859320463427336,0.7711864406779662,0.7725305914823222,118.0
