,precision,recall,f1-score,support
0,0.7647058823529411,0.8125,0.787878787878788,16.0
1,0.6875,0.6470588235294118,0.6666666666666667,17.0
2,0.8125,0.7647058823529411,0.787878787878788,17.0
3,0.7333333333333333,0.6470588235294118,0.6875,17.0
4,0.7272727272727273,0.9411764705882353,0.8205128205128205,17.0
5,1.0,0.9411764705882353,0.9696969696969697,17.0
6,0.625,0.5882352941176471,0.6060606060606061,17.0
accuracy,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.7627118644067796
macro avg,0.7643302775655717,0.7631302521008403,0.7608849483849485,118.0
weighted avg,0.7643270944741533,0.7627118644067796,0.7606561870333056,118.0
