,precision,recall,f1-score,support
0,0.8125,0.8125,0.8125,16.0
1,0.6111111111111112,0.6470588235294118,0.6285714285714287,17.0
2,0.8666666666666667,0.7647058823529411,0.8125,17.0
3,0.65,0.7647058823529411,0.7027027027027027,17.0
4,0.8,0.9411764705882353,0.8648648648648648,17.0
5,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
6,0.5833333333333334,0.4117647058823529,0.4827586206896552,17.0
accuracy,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068
macro avg,0.7437091503267973,0.7463235294117647,0.7408929368578745,118.0
weighted avg,0.743126177024482,0.7457627118644068,0.740286097339721,118.0
