,precision,recall,f1-score,support
0,0.75,0.7894736842105263,0.7692307692307692,38.0
1,0.6571428571428571,0.6052631578947368,0.6301369863013698,38.0
2,0.6744186046511628,0.7631578947368421,0.7160493827160495,38.0
3,0.625,0.6410256410256411,0.6329113924050633,39.0
4,0.5,0.3684210526315789,0.4242424242424242,19.0
5,0.6129032258064516,0.48717948717948717,0.5428571428571428,39.0
6,0.6585365853658537,0.7105263157894737,0.6835443037974684,38.0
7,0.75,0.8461538461538461,0.7951807228915662,39.0
accuracy,0.6701388888888888,0.6701388888888888,0.6701388888888888,0.6701388888888888
macro avg,0.6535001591207906,0.6514001349527665,0.6492691405552317,288.0
weighted avg,0.6637220541615514,0.6701388888888888,0.6641950066886741,288.0
