,precision,recall,f1-score,support
0,0.627906976744186,0.7105263157894737,0.6666666666666666,38.0
1,0.5277777777777778,0.5,0.5135135135135136,38.0
2,0.5714285714285714,0.7368421052631579,0.6436781609195403,38.0
3,0.55,0.5641025641025641,0.5569620253164557,39.0
4,0.6666666666666666,0.631578947368421,0.6486486486486486,19.0
5,0.6470588235294118,0.5641025641025641,0.6027397260273972,39.0
6,0.7428571428571429,0.6842105263157895,0.7123287671232877,38.0
7,0.8787878787878788,0.7435897435897436,0.8055555555555556,39.0
accuracy,0.6423611111111112,0.6423611111111112,0.6423611111111112,0.6423611111111112
macro avg,0.6515604797239545,0.6418690958164642,0.6437616329713831,288.0
weighted avg,0.6509846037212943,0.6423611111111112,0.643557185437068,288.0
