,precision,recall,f1-score,support
0,0.6097560975609756,0.6578947368421053,0.6329113924050632,38.0
1,0.425531914893617,0.5263157894736842,0.4705882352941176,38.0
2,0.5121951219512195,0.5526315789473685,0.5316455696202531,38.0
3,0.4594594594594595,0.4358974358974359,0.4473684210526316,39.0
4,0.375,0.15789473684210525,0.22222222222222218,19.0
5,0.5333333333333333,0.41025641025641024,0.463768115942029,39.0
6,0.5263157894736842,0.5263157894736842,0.5263157894736842,38.0
7,0.6086956521739131,0.717948717948718,0.6588235294117647,39.0
accuracy,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334
macro avg,0.5062859211057753,0.4981443994601889,0.49420540942772073,288.0
weighted avg,0.5152340571566749,0.5208333333333334,0.5124520219104558,288.0
