,precision,recall,f1-score,support
0,0.9484536082474226,0.92,0.9340101522842639,200.0
1,0.9153439153439153,0.865,0.8894601542416453,200.0
2,0.9346733668341709,0.93,0.9323308270676693,200.0
3,0.892018779342723,0.95,0.9200968523002421,200.0
4,0.9607843137254902,0.98,0.9702970297029702,200.0
5,0.9528795811518325,0.91,0.9309462915601024,200.0
6,0.8714285714285714,0.915,0.8926829268292683,200.0
accuracy,0.9242857142857143,0.9242857142857143,0.9242857142857143,0.9242857142857143
macro avg,0.9250831622963036,0.9242857142857143,0.9242606048551659,1400.0
weighted avg,0.9250831622963036,0.9242857142857143,0.9242606048551658,1400.0
