,precision,recall,f1-score,support
0,0.94,0.94,0.94,200.0
1,0.91005291005291,0.86,0.884318766066838,200.0
2,0.9104477611940298,0.915,0.912718204488778,200.0
3,0.9195979899497487,0.915,0.9172932330827068,200.0
4,0.9285714285714286,0.975,0.951219512195122,200.0
5,0.9312169312169312,0.88,0.9048843187660669,200.0
6,0.8679245283018868,0.92,0.8932038834951457,200.0
accuracy,0.915,0.915,0.915,0.915
macro avg,0.9154016498981337,0.9149999999999999,0.9148054168706654,1400.0
weighted avg,0.9154016498981336,0.915,0.9148054168706653,1400.0
