,precision,recall,f1-score,support
0,0.7777777777777778,0.875,0.823529411764706,16.0
1,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
2,0.6666666666666666,0.5882352941176471,0.625,17.0
3,0.7857142857142857,0.6470588235294118,0.7096774193548386,17.0
4,0.9444444444444444,1.0,0.9714285714285714,17.0
5,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
6,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
accuracy,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.7627118644067796
macro avg,0.7613431337447258,0.763655462184874,0.7603494085806365,118.0
weighted avg,0.7612038571003781,0.7627118644067796,0.7598139848248393,118.0
