,precision,recall,f1-score,support
0,0.9264705882352942,0.945,0.9356435643564356,200.0
1,0.9037433155080213,0.845,0.8733850129198966,200.0
2,0.9292929292929293,0.92,0.9246231155778895,200.0
3,0.9104477611940298,0.915,0.912718204488778,200.0
4,0.937799043062201,0.98,0.9584352078239609,200.0
5,0.9354838709677419,0.87,0.9015544041450777,200.0
6,0.8511627906976744,0.915,0.8819277108433735,200.0
accuracy,0.9128571428571428,0.9128571428571428,0.9128571428571428,0.9128571428571428
macro avg,0.9134857569939846,0.9128571428571429,0.9126124600222016,1400.0
weighted avg,0.9134857569939845,0.9128571428571428,0.9126124600222015,1400.0
