,precision,recall,f1-score,support
0,0.7045454545454546,0.8157894736842105,0.7560975609756098,38.0
1,0.6486486486486487,0.631578947368421,0.64,38.0
2,0.7021276595744681,0.868421052631579,0.7764705882352942,38.0
3,0.6944444444444444,0.6410256410256411,0.6666666666666666,39.0
4,0.5217391304347826,0.631578947368421,0.5714285714285715,19.0
5,0.625,0.5128205128205128,0.5633802816901409,39.0
6,0.7878787878787878,0.6842105263157895,0.732394366197183,38.0
7,0.7777777777777778,0.717948717948718,0.7466666666666666,39.0
accuracy,0.6909722222222222,0.6909722222222222,0.6909722222222222,0.6909722222222222
macro avg,0.6827702379130456,0.6879217273954117,0.6816380877325166,288.0
weighted avg,0.6935636495469694,0.6909722222222222,0.6886720466269641,288.0
