,precision,recall,f1-score,support
0,0.7857142857142857,0.8461538461538461,0.8148148148148148,26.0
1,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
2,0.8125,0.9285714285714286,0.8666666666666666,14.0
3,0.6153846153846154,0.5714285714285714,0.5925925925925927,14.0
4,0.9285714285714286,0.8125,0.8666666666666666,16.0
5,1.0,0.9166666666666666,0.9565217391304348,12.0
8,0.8125,0.8125,0.8125,16.0
accuracy,0.8130841121495327,0.8130841121495327,0.8130841121495327,0.8130841121495327
macro avg,0.8189211582068724,0.8093711843711844,0.8125057510927076,107.0
weighted avg,0.8156644757112047,0.8130841121495327,0.8127078724396888,107.0
