,precision,recall,f1-score,support
0,0.8108108108108109,0.7894736842105263,0.8,38.0
1,0.6944444444444444,0.6578947368421053,0.6756756756756757,38.0
2,0.7083333333333334,0.8947368421052632,0.7906976744186046,38.0
3,0.65,0.6666666666666666,0.6582278481012659,39.0
4,0.75,0.631578947368421,0.6857142857142857,19.0
5,0.6333333333333333,0.48717948717948717,0.5507246376811593,39.0
6,0.7435897435897436,0.7631578947368421,0.7532467532467534,38.0
7,0.8095238095238095,0.8717948717948718,0.8395061728395062,39.0
accuracy,0.7256944444444444,0.7256944444444444,0.7256944444444444,0.7256944444444444
macro avg,0.7250044343794344,0.720310391363023,0.7192241309596563,288.0
weighted avg,0.7230701569243236,0.7256944444444444,0.7210556355617571,288.0
