,precision,recall,f1-score,support
0,0.75,0.868421052631579,0.8048780487804879,38.0
1,0.8620689655172413,0.6578947368421053,0.746268656716418,38.0
2,0.725,0.7631578947368421,0.7435897435897436,38.0
3,0.6944444444444444,0.6410256410256411,0.6666666666666666,39.0
4,0.42857142857142855,0.47368421052631576,0.45,19.0
5,0.6285714285714286,0.5641025641025641,0.5945945945945945,39.0
6,0.6666666666666666,0.7894736842105263,0.7228915662650601,38.0
7,0.8157894736842105,0.7948717948717948,0.8051948051948051,39.0
accuracy,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
macro avg,0.6963890509319275,0.694078947368421,0.691760510225972,288.0
weighted avg,0.714229929469267,0.7083333333333334,0.7076793443581652,288.0
