,precision,recall,f1-score,support
0,0.8125,0.8125,0.8125,16.0
1,0.5555555555555556,0.5882352941176471,0.5714285714285715,17.0
2,0.7222222222222222,0.7647058823529411,0.7428571428571428,17.0
3,0.8461538461538461,0.6470588235294118,0.7333333333333334,17.0
4,0.7272727272727273,0.9411764705882353,0.8205128205128205,17.0
5,0.875,0.8235294117647058,0.8484848484848485,17.0
6,0.6,0.5294117647058824,0.5625,17.0
accuracy,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.7288135593220338
macro avg,0.7341006216006215,0.729516806722689,0.727373816659531,118.0
weighted avg,0.7334362200887625,0.7288135593220338,0.7266524083261372,118.0
