,precision,recall,f1-score,support
0,0.7692307692307693,0.7894736842105263,0.7792207792207793,38.0
1,0.7241379310344828,0.5526315789473685,0.6268656716417911,38.0
2,0.6829268292682927,0.7368421052631579,0.7088607594936709,38.0
3,0.6944444444444444,0.6410256410256411,0.6666666666666666,39.0
4,0.6,0.47368421052631576,0.5294117647058824,19.0
5,0.5277777777777778,0.48717948717948717,0.5066666666666667,39.0
6,0.6530612244897959,0.8421052631578947,0.735632183908046,38.0
7,0.7906976744186046,0.8717948717948718,0.8292682926829267,39.0
accuracy,0.6875,0.6875,0.6875,0.6875
macro avg,0.6802845813330209,0.6743421052631579,0.6728240981233037,288.0
weighted avg,0.6854841410481917,0.6875,0.6822302219655862,288.0
