,precision,recall,f1-score,support
0,0.9246231155778895,0.92,0.9223057644110277,200.0
1,0.8835978835978836,0.835,0.858611825192802,200.0
2,0.9179487179487179,0.895,0.9063291139240507,200.0
3,0.8743961352657005,0.905,0.8894348894348894,200.0
4,0.926829268292683,0.95,0.9382716049382716,200.0
5,0.9114583333333334,0.875,0.8928571428571429,200.0
6,0.812206572769953,0.865,0.837772397094431,200.0
accuracy,0.8921428571428571,0.8921428571428571,0.8921428571428571,0.8921428571428571
macro avg,0.8930085752551659,0.8921428571428571,0.8922261054075166,1400.0
weighted avg,0.8930085752551657,0.8921428571428571,0.8922261054075163,1400.0
